日期,隔夜SOXX%,隔夜NVDA%,隔夜AMD%,隔夜TSM%,隔夜AVGO%,隔夜LITE%,隔夜MU%,隔夜原油%,隔夜GLD%,沪指%,000333%,300502%,600183%,002463%,002491%,002428%,603516%,301316%,588200%,515880%,159992%,159937%,512100%,600487%,002412%,601138%,003040%,159949%,300684%,600378%,当天主线
2026-08-25,-2.67,-2.91,-3.49,-2.11,-2.63,-4.22,-5.83,-1.80,0.79,0.19,0.81,-2.70,2.14,-1.11,2.83,-1.20,3.41,3.06,-0.35,0.00,2.12,-0.30,0.26,,,,,,,隔夜芯片回撤
2026-08-26,1.56,2.19,4.91,1.78,-0.56,6.67,2.48,-4.58,0.32,0.59,-0.35,-0.52,0.78,4.31,5.05,-0.81,-9.35,-1.32,1.59,0.00,0.00,-0.23,0.36,,,,,,,科创芯片补涨、PCB强、淳中杀
2026-08-27,0.26,-1.59,0.37,0.07,-0.32,6.04,0.58,0.95,-1.58,1.13,-0.24,2.59,8.43,2.35,5.16,8.44,4.14,4.61,4.79,4.63,0.81,-0.73,2.55,9.98,7.10,5.43,9.98,1.43,,,PCB/芯片/光模块，黄金家电落后
2026-08-28,1.95,8.74,-0.89,2.30,4.49,1.82,-0.32,2.09,0.30,-0.11,0.06,-2.47,3.32,-0.26,-5.96,-1.68,-2.74,-2.98,-2.41,-1.47,-1.49,0.31,-0.32,-3.65,-6.35,0.28,-1.23,-1.47,,,隔夜NVDA大涨，A股科技冲高回落，PCB逆势
2026-08-31,-3.20,-4.58,-2.33,-2.29,-0.74,-6.39,-0.27,-0.24,-3.24,0.86,1.74,0.72,5.32,2.64,-0.04,1.04,4.90,-1.19,1.70,0.60,-1.62,-3.60,0.70,-1.92,-9.98,1.25,-3.78,0.06,3.17,-0.56,液冷服务器、中石/昊华公告、工信部AI应用服务商政策
2026-09-01,0.48,1.48,1.10,-0.53,0.42,2.21,2.77,3.08,-0.11,-0.16,-0.27,0.23,-5.85,-3.35,-4.82,-5.76,-1.91,-2.14,-2.85,-1.49,0.12,-0.14,-0.86,-0.06,-5.58,-2.93,10.00,-1.12,0.74,-7.83,隔夜芯片反弹、午后光模块假豁免假拉、昊华锗业回撤
2026-09-02,-2.10,-1.51,-2.36,-0.32,-0.18,-5.01,-2.64,5.46,-2.86,-0.97,-0.58,-4.00,0.39,-1.93,1.47,-2.81,-1.58,-0.27,-1.72,-2.11,-0.71,-2.37,-1.41,-0.65,-8.06,-1.81,7.87,-2.57,-6.89,3.23,缩量普跌·军工逆势
2026-09-03,0.23,3.21,-0.55,0.36,-0.66,0.19,2.43,0.11,1.52,0.02,0.31,-0.50,-1.23,-1.66,-1.86,-0.68,3.33,-0.70,-0.44,-0.31,0.95,2.34,0.26,-2.41,-2.92,2.27,-9.09,-0.13,1.04,-3.59,冲高回落·液冷航运机器人培育钻石
2026-09-07,3.52,0.84,4.69,2.85,0.21,4.00,6.10,-0.09,-0.84,0.07,-1.48,8.08,7.75,10.00,3.53,5.64,-0.15,5.69,3.08,5.95,-0.47,-1.50,1.74,2.86,0.62,4.52,8.66,3.69,17.39,3.98,隔夜AI硬件强·光模块CPO修复·中石热管理大涨·新易盛激励落地
2026-09-08,3.52,0.84,4.69,2.85,0.21,4.00,6.10,-0.09,-0.84,0.20,-1.30,-0.19,-1.26,1.83,1.66,-2.12,-3.79,-4.32,-1.58,-0.89,0.95,0.29,0.29,-1.39,1.44,-2.73,-3.05,-1.19,-15.46,-2.27,中石重点监控大跌·淳中回购贷款·慧博增持·光模块高位回吐
2026-09-09,1.64,-2.01,5.90,2.35,2.98,11.04,-1.61,2.87,-1.73,0.28,1.02,-0.38,1.29,2.12,3.59,1.53,-1.64,1.87,-0.62,0.89,-1.41,-0.11,-0.16,5.56,-2.53,0.76,-5.62,-0.13,-5.18,1.72,隔夜光模块NeoCloud大涨·CIOE首日亨通领涨·中石续跌
2026-09-10,0.68,-0.91,3.04,-0.83,-1.13,1.07,2.75,2.70,0.91,-0.43,0.21,-0.94,-0.81,0.29,-5.40,-1.52,-2.36,-1.47,-0.72,-0.89,-1.91,0.48,-0.61,-4.07,-6.02,-2.04,-10.00,0.06,-0.19,1.97,隔夜AMD/MU/油强·NVDA-Groq调查·台积电8月营收·亨通回吐
2026-09-11,-2.74,-2.37,-3.36,-1.68,-0.97,-5.39,-4.90,5.61,-1.73,-1.18,0.07,2.94,1.00,0.26,0.81,-1.79,-2.79,-3.06,-1.54,0.60,-2.19,-1.53,-2.21,2.08,-2.65,0.25,-7.62,-0.89,2.75,-5.87,隔夜半导光模块存储普跌·油强金弱·FCC未点名中国光模块·新易盛亨通中石逆势·昊华大跌·晚间CPI核心偏热
2026-09-14,1.86,-0.03,2.49,1.22,0.32,-0.93,-0.22,-2.20,0.61,-0.07,0.63,-4.99,,,,2.06,3.29,-0.92,-1.65,-2.67,3.36,-0.82,0.63,-3.13,,-3.90,,-1.53,-1.39,0.37,隔夜半导回暖但周末AI放缓·开盘CPO芯片回调·创新药走强·美股盘前光通信存储硬回撤
2026-09-15,-5.63,-3.36,-4.40,-3.52,-4.77,-9.92,-5.25,1.14,-1.49,-0.54,0.50,-1.22,,,,0.02,-1.62,0.17,1.96,-0.61,-0.96,-0.47,-0.30,-1.23,,-1.25,,-1.49,5.06,3.01,隔夜半导光模块硬杀·A股中石昊华科创芯片逆势·光通信偏弱·无持仓硬催化
2026-09-16,0.29,0.57,2.19,-1.02,-1.58,0.47,0.39,3.32,0.33,0.71,-2.56,6.72,,,,4.79,1.24,2.53,5.04,4.90,0.49,0.84,1.92,4.77,,2.52,,2.04,5.49,3.22,昊华路演电子特气问答·云南锗业砷化镓固贷2.17亿·盘前光模块/AMD映射新易盛芯片ETF
2026-09-17,0.64,0.82,1.65,0.96,0.07,9.59,-0.11,-3.52,-0.61,-0.41,0.05,0.15,,,,-1.74,-0.43,0.14,-0.52,0.15,0.48,-0.56,-0.52,4.72,,-1.70,,-0.45,0.02,-2.58,隔夜光模块狂飙LITE/COHR·Fed油重挫·A股亨通大涨通信偏强·云南锗业固贷回吐·昊华回落·盘前NBIS/CRWV大涨已告警
